month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2025/01/01 05:00:00+00,Sunday,5,Blue Line,120359,24072,835
2025/01/01 05:00:00+00,Sunday,5,Orange Line,246324,49265,836
2025/01/01 05:00:00+00,Sunday,5,Red Line,281643,56329,837
2025/01/01 05:00:00+00,Sunday,5,Heavy Rail,648326,129665,838
2025/01/01 05:00:00+00,Sunday,5,Green Line,349148,69830,839
2025/01/01 05:00:00+00,Sunday,5,Mattapan Line,4870,974,840
2025/01/01 05:00:00+00,Sunday,5,Light Rail,354018,70804,841
2025/01/01 05:00:00+00,Sunday,5,Silver Line,78843,15769,842
2025/01/01 05:00:00+00,Sunday,5,Bus,501077,100215,843
2025/01/01 05:00:00+00,Sunday,5,All Bus,579920,115984,844
2025/01/01 05:00:00+00,Sunday,4,Commuter Rail,105658,26414,845
2025/01/01 05:00:00+00,Sunday,4,Ferry,706,176,846
2025/01/01 05:00:00+00,Sunday,4,The RIDE,6900,1725,847
2025/01/01 05:00:00+00,Total,31,Blue Line,1231906,39739,848
2025/01/01 05:00:00+00,Total,31,Orange Line,3038068,98002,849
2025/01/01 05:00:00+00,Total,31,Red Line,3318886,107061,850
2024/12/01 05:00:00+00,Total,31,Orange Line,2996121,96649,851
2024/12/01 05:00:00+00,Total,31,Red Line,3204562,103373,852
2024/12/01 05:00:00+00,Total,31,Heavy Rail,7437293,239913,853
2024/12/01 05:00:00+00,Total,31,Green Line,3210331,103559,854
2024/12/01 05:00:00+00,Total,31,Mattapan Line,63412,2046,855
2024/12/01 05:00:00+00,Total,31,Light Rail,3273743,105605,856
2024/12/01 05:00:00+00,Total,31,Silver Line,825524,26630,857
2024/12/01 05:00:00+00,Total,31,Bus,6378763,205767,858
2024/12/01 05:00:00+00,Total,31,All Bus,7204287,232396,859
2024/12/01 05:00:00+00,Total,31,Commuter Rail,2235957,72128,860
2024/12/01 05:00:00+00,Total,31,Ferry,69754,2250,861
2024/12/01 05:00:00+00,Total,31,The RIDE,98387,3174,862
2024/11/01 04:00:00+00,Weekday,20,Blue Line,1026832,51342,863
2024/11/01 04:00:00+00,Weekday,20,Orange Line,2237525,111876,864
2024/11/01 04:00:00+00,Weekday,20,Red Line,2126691,106335,865
2024/11/01 04:00:00+00,Weekday,20,Heavy Rail,5391048,269552,866
2024/11/01 04:00:00+00,Weekday,20,Green Line,2781810,139090,867
2024/11/01 04:00:00+00,Weekday,20,Mattapan Line,57052,2853,868
2024/11/01 04:00:00+00,Weekday,20,Light Rail,2838862,141943,869
2024/11/01 04:00:00+00,Weekday,20,Silver Line,601656,30083,870
2024/11/01 04:00:00+00,Weekday,20,Bus,5569521,278476,871
2024/11/01 04:00:00+00,Weekday,20,All Bus,6171177,308559,872
2024/11/01 04:00:00+00,Weekday,19,Commuter Rail,1962778,103304,873
2024/11/01 04:00:00+00,Weekday,19,Ferry,82699,4353,874
2024/11/01 04:00:00+00,Weekday,21,The RIDE,82572,3932,875
2024/11/01 04:00:00+00,Saturday,5,Blue Line,191452,38290,876
2024/11/01 04:00:00+00,Saturday,5,Orange Line,394355,78871,877
2024/11/01 04:00:00+00,Saturday,5,Red Line,377059,75412,878
2024/11/01 04:00:00+00,Saturday,5,Heavy Rail,962866,192573,879
2024/11/01 04:00:00+00,Saturday,5,Green Line,556280,111256,880
2024/11/01 04:00:00+00,Saturday,5,Mattapan Line,5978,1196,881
2024/11/01 04:00:00+00,Saturday,5,Light Rail,562258,112452,882
2024/11/01 04:00:00+00,Saturday,5,Silver Line,104832,20966,883
2024/11/01 04:00:00+00,Saturday,5,Bus,786295,157259,884
2024/11/01 04:00:00+00,Saturday,5,All Bus,891128,178226,885
2024/11/01 04:00:00+00,Saturday,5,Commuter Rail,195480,39096,886
2024/11/01 04:00:00+00,Saturday,5,Ferry,3050,610,887
2024/11/01 04:00:00+00,Saturday,5,The RIDE,10175,2035,888
2024/11/01 04:00:00+00,Sunday,5,Blue Line,138343,27669,889
2024/11/01 04:00:00+00,Sunday,5,Orange Line,270685,54137,890
2024/11/01 04:00:00+00,Sunday,5,Red Line,258194,51639,891
2024/11/01 04:00:00+00,Sunday,5,Heavy Rail,667222,133444,892
2024/11/01 04:00:00+00,Sunday,5,Green Line,394474,78895,893
2024/11/01 04:00:00+00,Sunday,5,Mattapan Line,3751,750,894
2024/11/01 04:00:00+00,Sunday,5,Light Rail,398225,79645,895
2024/11/01 04:00:00+00,Sunday,5,Silver Line,81224,16245,896
2024/11/01 04:00:00+00,Sunday,5,Bus,503833,100767,897
2024/11/01 04:00:00+00,Sunday,5,All Bus,585057,117011,898
2024/11/01 04:00:00+00,Sunday,4,Commuter Rail,102994,25748,899
2024/11/01 04:00:00+00,Sunday,4,Ferry,2494,624,900
2024/10/01 04:00:00+00,Sunday,4,Commuter Rail,155985,38996,901
2024/10/01 04:00:00+00,Sunday,4,Ferry,5329,1332,902
2024/10/01 04:00:00+00,Sunday,4,The RIDE,7696,1924,903
2024/10/01 04:00:00+00,Total,31,Blue Line,1564640,50472,904
2024/10/01 04:00:00+00,Total,31,Orange Line,3046881,98286,905
2024/10/01 04:00:00+00,Total,31,Red Line,4016827,129575,906
2024/10/01 04:00:00+00,Total,31,Heavy Rail,8628347,278334,907
2024/10/01 04:00:00+00,Total,31,Green Line,4479408,144497,908
2024/10/01 04:00:00+00,Total,31,Mattapan Line,97088,3132,909
2024/10/01 04:00:00+00,Total,31,Light Rail,4576496,147629,910
2024/10/01 04:00:00+00,Total,31,Silver Line,950838,30672,911
2024/10/01 04:00:00+00,Total,31,Bus,7880863,254221,912
2024/10/01 04:00:00+00,Total,31,All Bus,8831701,284894,913
2024/10/01 04:00:00+00,Total,31,Commuter Rail,2892062,93292,914
2024/10/01 04:00:00+00,Total,31,Ferry,135036,4356,915
2024/10/01 04:00:00+00,Total,31,The RIDE,109565,3534,916
2024/09/01 04:00:00+00,Weekday,20,Blue Line,1112301,55615,917
2024/09/01 04:00:00+00,Weekday,20,Orange Line,2564628,128231,918
2024/09/01 04:00:00+00,Weekday,20,Red Line,2489391,124470,919
2024/09/01 04:00:00+00,Weekday,20,Heavy Rail,6166320,308316,920
2024/09/01 04:00:00+00,Weekday,20,Green Line,3030050,151502,921
2024/09/01 04:00:00+00,Weekday,20,Mattapan Line,106446,5322,922
2024/09/01 04:00:00+00,Weekday,20,Light Rail,3136496,156825,923
2024/09/01 04:00:00+00,Weekday,20,Silver Line,645919,32296,924
2024/09/01 04:00:00+00,Weekday,20,Bus,5987489,299374,925
2024/09/01 04:00:00+00,Weekday,20,All Bus,6633407,331670,926
2024/09/01 04:00:00+00,Weekday,20,Commuter Rail,2268778,113439,927
2024/09/01 04:00:00+00,Weekday,20,Ferry,112138,5607,928
2024/09/01 04:00:00+00,Weekday,20,The RIDE,81564,4078,929
2024/09/01 04:00:00+00,Saturday,4,Blue Line,168683,42171,930
2024/09/01 04:00:00+00,Saturday,4,Orange Line,336034,84008,931
2024/09/01 04:00:00+00,Saturday,4,Red Line,315375,78844,932
2024/09/01 04:00:00+00,Saturday,4,Heavy Rail,820092,205023,933
2024/09/01 04:00:00+00,Saturday,4,Green Line,515757,128939,934
2024/09/01 04:00:00+00,Saturday,4,Mattapan Line,9719,2430,935
2024/09/01 04:00:00+00,Saturday,4,Light Rail,525476,131369,936
2024/09/01 04:00:00+00,Saturday,4,Silver Line,84298,21074,937
2024/09/01 04:00:00+00,Saturday,4,Bus,660252,165063,938
2024/09/01 04:00:00+00,Saturday,4,All Bus,744550,186138,939
2024/09/01 04:00:00+00,Saturday,4,Commuter Rail,155652,38913,940
2024/09/01 04:00:00+00,Saturday,4,Ferry,12107,3027,941
2024/09/01 04:00:00+00,Saturday,4,The RIDE,8096,2024,942
2024/09/01 04:00:00+00,Sunday,6,Blue Line,206749,34458,943
2024/09/01 04:00:00+00,Sunday,6,Orange Line,377916,62986,944
2024/09/01 04:00:00+00,Sunday,6,Red Line,390969,65162,945
2024/09/01 04:00:00+00,Sunday,6,Heavy Rail,975633,162606,946
2024/09/01 04:00:00+00,Sunday,6,Green Line,598688,99781,947
2024/09/01 04:00:00+00,Sunday,6,Mattapan Line,11784,1964,948
2024/09/01 04:00:00+00,Sunday,6,Light Rail,610472,101745,949
2024/09/01 04:00:00+00,Sunday,6,Silver Line,109804,18301,950
2024/08/01 04:00:00+00,Sunday,4,Light Rail,317586,79396,951
2024/08/01 04:00:00+00,Sunday,4,Silver Line,75657,18914,952
2024/08/01 04:00:00+00,Sunday,4,Bus,454910,113728,953
2024/08/01 04:00:00+00,Sunday,4,All Bus,530567,132642,954
2024/08/01 04:00:00+00,Sunday,4,Commuter Rail,113568,28392,955
2024/08/01 04:00:00+00,Sunday,4,Ferry,16354,4088,956
2024/08/01 04:00:00+00,Sunday,4,The RIDE,6908,1727,957
2024/08/01 04:00:00+00,Total,31,Blue Line,1307726,42185,958
2024/08/01 04:00:00+00,Total,31,Orange Line,2782792,89767,959
2024/08/01 04:00:00+00,Total,31,Red Line,2965871,95673,960
2024/08/01 04:00:00+00,Total,31,Heavy Rail,7056390,227625,961
2024/08/01 04:00:00+00,Total,31,Green Line,3539345,114172,962
2024/08/01 04:00:00+00,Total,31,Mattapan Line,71424,2304,963
2024/08/01 04:00:00+00,Total,31,Light Rail,3610769,116476,964
2024/08/01 04:00:00+00,Total,31,Silver Line,870265,28073,965
2024/08/01 04:00:00+00,Total,31,Bus,7028462,226725,966
2024/08/01 04:00:00+00,Total,31,All Bus,7898727,254798,967
2024/08/01 04:00:00+00,Total,31,Commuter Rail,2634106,84971,968
2024/08/01 04:00:00+00,Total,31,Ferry,185238,5975,969
2024/08/01 04:00:00+00,Total,31,The RIDE,97461,3144,970
2024/07/01 04:00:00+00,Weekday,22,Blue Line,1189664,54076,971
2024/07/01 04:00:00+00,Weekday,22,Orange Line,2354729,107033,972
2024/07/01 04:00:00+00,Weekday,22,Red Line,2168085,98549,973
2024/07/01 04:00:00+00,Weekday,22,Heavy Rail,5712478,259658,974
2024/07/01 04:00:00+00,Weekday,22,Green Line,2261678,102804,975
2024/07/01 04:00:00+00,Weekday,22,Mattapan Line,65958,2998,976
2024/07/01 04:00:00+00,Weekday,22,Light Rail,2327635,105802,977
2024/07/01 04:00:00+00,Weekday,22,Silver Line,90740,4125,978
2024/07/01 04:00:00+00,Weekday,22,Bus,763809,34719,979
2024/07/01 04:00:00+00,Weekday,22,All Bus,854549,38843,980
2024/07/01 04:00:00+00,Weekday,22,Commuter Rail,2407465,109430,981
2024/07/01 04:00:00+00,Weekday,22,Ferry,156541,7116,982
2024/07/01 04:00:00+00,Weekday,22,The RIDE,81903,3723,983
2024/07/01 04:00:00+00,Saturday,4,Blue Line,187465,46866,984
2024/07/01 04:00:00+00,Saturday,4,Orange Line,274020,68505,985
2024/07/01 04:00:00+00,Saturday,4,Red Line,356523,89131,986
2024/07/01 04:00:00+00,Saturday,4,Heavy Rail,818008,204502,987
2024/07/01 04:00:00+00,Saturday,4,Green Line,326529,81632,988
2024/07/01 04:00:00+00,Saturday,4,Mattapan Line,6246,1562,989
2024/07/01 04:00:00+00,Saturday,4,Light Rail,332775,83194,990
2024/07/01 04:00:00+00,Saturday,4,Silver Line,669674,167418,991
2024/07/01 04:00:00+00,Saturday,4,Bus,5493516,1373379,992
2024/07/01 04:00:00+00,Saturday,4,All Bus,6163189,1540797,993
2024/07/01 04:00:00+00,Saturday,4,Commuter Rail,153030,38258,994
2024/07/01 04:00:00+00,Saturday,4,Ferry,23641,5910,995
2024/07/01 04:00:00+00,Saturday,4,The RIDE,7496,1874,996
2024/07/01 04:00:00+00,Sunday,4,Blue Line,193955,48489,997
2024/07/01 04:00:00+00,Sunday,4,Orange Line,230254,57564,998
2024/07/01 04:00:00+00,Sunday,4,Red Line,176406,44102,999
2024/07/01 04:00:00+00,Sunday,4,Heavy Rail,600616,150154,1000
2024/09/01 04:00:00+00,Sunday,6,Bus,705775,117629,1001
2024/09/01 04:00:00+00,Sunday,6,All Bus,815579,135930,1002
2024/09/01 04:00:00+00,Sunday,5,Commuter Rail,152865,30573,1003
2024/09/01 04:00:00+00,Sunday,5,Ferry,13972,2794,1004
2024/09/01 04:00:00+00,Sunday,5,The RIDE,9000,1800,1005
2024/09/01 04:00:00+00,Total,30,Blue Line,1487733,49591,1006
2024/09/01 04:00:00+00,Total,30,Orange Line,3278577,109286,1007
2024/09/01 04:00:00+00,Total,30,Red Line,3195735,106524,1008
2024/09/01 04:00:00+00,Total,30,Heavy Rail,7962046,265402,1009
2024/09/01 04:00:00+00,Total,30,Green Line,4144495,138150,1010
2024/09/01 04:00:00+00,Total,30,Mattapan Line,127949,4265,1011
2024/09/01 04:00:00+00,Total,30,Light Rail,4272444,142415,1012
2024/09/01 04:00:00+00,Total,30,Silver Line,840020,28001,1013
2024/09/01 04:00:00+00,Total,30,Bus,7353516,245117,1014
2024/09/01 04:00:00+00,Total,30,All Bus,8193536,273118,1015
2024/09/01 04:00:00+00,Total,30,Commuter Rail,2608271,86942,1016
2024/09/01 04:00:00+00,Total,30,Ferry,142024,4734,1017
2024/09/01 04:00:00+00,Total,30,The RIDE,98681,3289,1018
2024/08/01 04:00:00+00,Weekday,22,Blue Line,1032197,46918,1019
2024/08/01 04:00:00+00,Weekday,22,Orange Line,2348847,106766,1020
2024/08/01 04:00:00+00,Weekday,22,Red Line,2375187,107963,1021
2024/08/01 04:00:00+00,Weekday,22,Heavy Rail,5756231,261647,1022
2024/08/01 04:00:00+00,Weekday,22,Green Line,2731873,124176,1023
2024/08/01 04:00:00+00,Weekday,22,Mattapan Line,59255,2693,1024
2024/08/01 04:00:00+00,Weekday,22,Light Rail,2791129,126870,1025
2024/08/01 04:00:00+00,Weekday,22,Silver Line,614243,27920,1026
2024/08/01 04:00:00+00,Weekday,22,Bus,5216032,237092,1027
2024/08/01 04:00:00+00,Weekday,22,All Bus,5830275,265012,1028
2024/08/01 04:00:00+00,Weekday,22,Commuter Rail,2314957,105225,1029
2024/08/01 04:00:00+00,Weekday,22,Ferry,140866,6403,1030
2024/08/01 04:00:00+00,Weekday,22,The RIDE,80894,3677,1031
2024/08/01 04:00:00+00,Saturday,5,Blue Line,171977,34395,1032
2024/08/01 04:00:00+00,Saturday,5,Orange Line,279019,55804,1033
2024/08/01 04:00:00+00,Saturday,5,Red Line,368765,73753,1034
2024/08/01 04:00:00+00,Saturday,5,Heavy Rail,819761,163952,1035
2024/08/01 04:00:00+00,Saturday,5,Green Line,494306,98861,1036
2024/08/01 04:00:00+00,Saturday,5,Mattapan Line,7747,1549,1037
2024/08/01 04:00:00+00,Saturday,5,Light Rail,502054,100411,1038
2024/08/01 04:00:00+00,Saturday,5,Silver Line,180365,36073,1039
2024/08/01 04:00:00+00,Saturday,5,Bus,1357520,271504,1040
2024/08/01 04:00:00+00,Saturday,5,All Bus,1537885,307577,1041
2024/08/01 04:00:00+00,Saturday,5,Commuter Rail,205581,41116,1042
2024/08/01 04:00:00+00,Saturday,5,Ferry,28018,5604,1043
2024/08/01 04:00:00+00,Saturday,5,The RIDE,9640,1928,1044
2024/08/01 04:00:00+00,Sunday,4,Blue Line,103552,25888,1045
2024/08/01 04:00:00+00,Sunday,4,Orange Line,154926,38732,1046
2024/08/01 04:00:00+00,Sunday,4,Red Line,221920,55480,1047
2024/08/01 04:00:00+00,Sunday,4,Heavy Rail,480398,120100,1048
2024/08/01 04:00:00+00,Sunday,4,Green Line,313165,78291,1049
2024/08/01 04:00:00+00,Sunday,4,Mattapan Line,4421,1105,1050
2024/11/01 04:00:00+00,Sunday,4,The RIDE,7884,1971,1051
2024/11/01 04:00:00+00,Total,30,Blue Line,1356627,45221,1052
2024/11/01 04:00:00+00,Total,30,Orange Line,2902565,96752,1053
2024/11/01 04:00:00+00,Total,30,Red Line,2761944,92065,1054
2024/11/01 04:00:00+00,Total,30,Heavy Rail,7021136,234038,1055
2024/11/01 04:00:00+00,Total,30,Green Line,3732565,124419,1056
2024/11/01 04:00:00+00,Total,30,Mattapan Line,66780,2226,1057
2024/11/01 04:00:00+00,Total,30,Light Rail,3799345,126645,1058
2024/11/01 04:00:00+00,Total,30,Silver Line,787712,26257,1059
2024/11/01 04:00:00+00,Total,30,Bus,6859650,228655,1060
2024/11/01 04:00:00+00,Total,30,All Bus,7647362,254912,1061
2024/11/01 04:00:00+00,Total,30,Commuter Rail,2370524,79017,1062
2024/11/01 04:00:00+00,Total,30,Ferry,91942,3065,1063
2024/11/01 04:00:00+00,Total,30,The RIDE,100652,3355,1064
2024/10/01 04:00:00+00,Weekday,22,Blue Line,1226420,55746,1065
2024/10/01 04:00:00+00,Weekday,22,Orange Line,2542369,115562,1066
2024/10/01 04:00:00+00,Weekday,22,Red Line,3217799,146264,1067
2024/10/01 04:00:00+00,Weekday,22,Heavy Rail,6986589,317572,1068
2024/10/01 04:00:00+00,Weekday,22,Green Line,3457518,157160,1069
2024/10/01 04:00:00+00,Weekday,22,Mattapan Line,81929,3724,1070
2024/10/01 04:00:00+00,Weekday,22,Light Rail,3539447,160884,1071
2024/10/01 04:00:00+00,Weekday,22,Silver Line,751867,34176,1072
2024/10/01 04:00:00+00,Weekday,22,Bus,6588892,299495,1073
2024/10/01 04:00:00+00,Weekday,22,All Bus,7340758,333671,1074
2024/10/01 04:00:00+00,Weekday,23,Commuter Rail,2531640,110071,1075
2024/10/01 04:00:00+00,Weekday,23,Ferry,119940,5215,1076
2024/10/01 04:00:00+00,Weekday,23,The RIDE,93196,4052,1077
2024/10/01 04:00:00+00,Saturday,5,Blue Line,208645,41729,1078
2024/10/01 04:00:00+00,Saturday,5,Orange Line,314828,62966,1079
2024/10/01 04:00:00+00,Saturday,5,Red Line,494260,98852,1080
2024/10/01 04:00:00+00,Saturday,5,Heavy Rail,1017733,203547,1081
2024/10/01 04:00:00+00,Saturday,5,Green Line,637198,127440,1082
2024/10/01 04:00:00+00,Saturday,5,Mattapan Line,9873,1975,1083
2024/10/01 04:00:00+00,Saturday,5,Light Rail,647071,129414,1084
2024/10/01 04:00:00+00,Saturday,5,Silver Line,120068,24014,1085
2024/10/01 04:00:00+00,Saturday,5,Bus,841554,168311,1086
2024/10/01 04:00:00+00,Saturday,5,All Bus,961622,192324,1087
2024/10/01 04:00:00+00,Saturday,4,Commuter Rail,204437,51109,1088
2024/10/01 04:00:00+00,Saturday,4,Ferry,9767,2442,1089
2024/10/01 04:00:00+00,Saturday,4,The RIDE,8668,2167,1090
2024/10/01 04:00:00+00,Sunday,4,Blue Line,129574,32394,1091
2024/10/01 04:00:00+00,Sunday,4,Orange Line,189684,47421,1092
2024/10/01 04:00:00+00,Sunday,4,Red Line,304768,76192,1093
2024/10/01 04:00:00+00,Sunday,4,Heavy Rail,624025,156006,1094
2024/10/01 04:00:00+00,Sunday,4,Green Line,384692,96173,1095
2024/10/01 04:00:00+00,Sunday,4,Mattapan Line,5287,1322,1096
2024/10/01 04:00:00+00,Sunday,4,Light Rail,389978,97494,1097
2024/10/01 04:00:00+00,Sunday,4,Silver Line,78904,19726,1098
2024/10/01 04:00:00+00,Sunday,4,Bus,450417,112604,1099
2024/10/01 04:00:00+00,Sunday,4,All Bus,529321,132330,1100
2024/07/01 04:00:00+00,Sunday,4,Green Line,280167,70042,1101
2024/07/01 04:00:00+00,Sunday,4,Mattapan Line,4118,1030,1102
2024/07/01 04:00:00+00,Sunday,4,Light Rail,284285,71071,1103
2024/07/01 04:00:00+00,Sunday,4,Silver Line,119971,29993,1104
2024/07/01 04:00:00+00,Sunday,4,Bus,784447,196112,1105
2024/07/01 04:00:00+00,Sunday,4,All Bus,904418,226104,1106
2024/07/01 04:00:00+00,Sunday,4,Commuter Rail,109894,27474,1107
2024/07/01 04:00:00+00,Sunday,4,Ferry,19379,4845,1108
2024/07/01 04:00:00+00,Sunday,4,The RIDE,7160,1790,1109
2024/07/01 04:00:00+00,Total,31,Blue Line,1571084,50680,1110
2024/07/01 04:00:00+00,Total,31,Orange Line,2907726,93798,1111
2024/07/01 04:00:00+00,Total,31,Red Line,2766470,89241,1112
2024/07/01 04:00:00+00,Total,31,Heavy Rail,7245280,233719,1113
2024/07/01 04:00:00+00,Total,31,Green Line,2927979,94451,1114
2024/07/01 04:00:00+00,Total,31,Mattapan Line,77622,2504,1115
2024/07/01 04:00:00+00,Total,31,Light Rail,3005601,96955,1116
2024/07/01 04:00:00+00,Total,31,Silver Line,880384,28399,1117
2024/07/01 04:00:00+00,Total,31,Bus,7041771,227154,1118
2024/07/01 04:00:00+00,Total,31,All Bus,7922156,255553,1119
2024/07/01 04:00:00+00,Total,31,Commuter Rail,2704837,87253,1120
2024/07/01 04:00:00+00,Total,31,Ferry,204539,6598,1121
2024/07/01 04:00:00+00,Total,31,The RIDE,96858,3124,1122
2024/06/01 04:00:00+00,Weekday,20,Blue Line,997502,49875,1123
2024/06/01 04:00:00+00,Weekday,20,Orange Line,1739974,86999,1124
2024/06/01 04:00:00+00,Weekday,20,Red Line,2501402,125070,1125
2024/06/01 04:00:00+00,Weekday,20,Heavy Rail,5238877,261944,1126
2024/06/01 04:00:00+00,Weekday,20,Green Line,1883716,94186,1127
2024/06/01 04:00:00+00,Weekday,20,Mattapan Line,65447,3272,1128
2024/06/01 04:00:00+00,Weekday,20,Light Rail,1949163,97458,1129
2024/06/01 04:00:00+00,Weekday,20,Silver Line,624972,31249,1130
2024/06/01 04:00:00+00,Weekday,20,Bus,5181514,259076,1131
2024/06/01 04:00:00+00,Weekday,20,All Bus,5806485,290324,1132
2024/06/01 04:00:00+00,Weekday,20,Commuter Rail,2159079,107954,1133
2024/06/01 04:00:00+00,Weekday,20,Ferry,120538,6027,1134
2024/06/01 04:00:00+00,Weekday,20,The RIDE,75080,3754,1135
2024/06/01 04:00:00+00,Saturday,5,Blue Line,193928,38786,1136
2024/06/01 04:00:00+00,Saturday,5,Orange Line,259911,51982,1137
2024/06/01 04:00:00+00,Saturday,5,Red Line,351493,70299,1138
2024/06/01 04:00:00+00,Saturday,5,Heavy Rail,805333,161067,1139
2024/06/01 04:00:00+00,Saturday,5,Green Line,400034,80007,1140
2024/06/01 04:00:00+00,Saturday,5,Mattapan Line,8653,1731,1141
2024/06/01 04:00:00+00,Saturday,5,Light Rail,408687,81737,1142
2024/06/01 04:00:00+00,Saturday,5,Silver Line,111831,22366,1143
2024/06/01 04:00:00+00,Saturday,5,Bus,818383,163677,1144
2024/06/01 04:00:00+00,Saturday,5,All Bus,930214,186043,1145
2024/06/01 04:00:00+00,Saturday,5,Commuter Rail,184375,36875,1146
2024/06/01 04:00:00+00,Saturday,5,Ferry,21797,4359,1147
2024/06/01 04:00:00+00,Saturday,5,The RIDE,9760,1952,1148
2024/06/01 04:00:00+00,Sunday,5,Blue Line,153409,30682,1149
2024/06/01 04:00:00+00,Sunday,5,Orange Line,191722,38344,1150
2025/01/01 05:00:00+00,Total,31,Heavy Rail,7588860,244802,1151
2025/01/01 05:00:00+00,Total,31,Green Line,3455182,111457,1152
2025/01/01 05:00:00+00,Total,31,Mattapan Line,69068,2228,1153
2025/01/01 05:00:00+00,Total,31,Light Rail,3524250,113685,1154
2025/01/01 05:00:00+00,Total,31,Silver Line,789928,25482,1155
2025/01/01 05:00:00+00,Total,31,Bus,6831421,220368,1156
2025/01/01 05:00:00+00,Total,31,All Bus,7621349,245850,1157
2025/01/01 05:00:00+00,Total,31,Commuter Rail,2348137,75746,1158
2025/01/01 05:00:00+00,Total,31,Ferry,72581,2341,1159
2025/01/01 05:00:00+00,Total,31,The RIDE,98879,3190,1160
2024/12/01 05:00:00+00,Weekday,21,Blue Line,955372,45494,1161
2024/12/01 05:00:00+00,Weekday,21,Orange Line,2373072,113003,1162
2024/12/01 05:00:00+00,Weekday,21,Red Line,2544391,121161,1163
2024/12/01 05:00:00+00,Weekday,21,Heavy Rail,5872836,279659,1164
2024/12/01 05:00:00+00,Weekday,21,Green Line,2440218,116201,1165
2024/12/01 05:00:00+00,Weekday,21,Mattapan Line,53968,2570,1166
2024/12/01 05:00:00+00,Weekday,21,Light Rail,2494186,118771,1167
2024/12/01 05:00:00+00,Weekday,21,Silver Line,611606,29124,1168
2024/12/01 05:00:00+00,Weekday,21,Bus,5079238,241868,1169
2024/12/01 05:00:00+00,Weekday,21,All Bus,5690844,270993,1170
2024/12/01 05:00:00+00,Weekday,21,Commuter Rail,1950999,92905,1171
2024/12/01 05:00:00+00,Weekday,21,Ferry,67867,3232,1172
2024/12/01 05:00:00+00,Weekday,22,The RIDE,81070,3685,1173
2024/12/01 05:00:00+00,Saturday,4,Blue Line,133778,33444,1174
2024/12/01 05:00:00+00,Saturday,4,Orange Line,310234,77558,1175
2024/12/01 05:00:00+00,Saturday,4,Red Line,321790,80448,1176
2024/12/01 05:00:00+00,Saturday,4,Heavy Rail,765803,191451,1177
2024/12/01 05:00:00+00,Saturday,4,Green Line,371019,92755,1178
2024/12/01 05:00:00+00,Saturday,4,Mattapan Line,4308,1077,1179
2024/12/01 05:00:00+00,Saturday,4,Light Rail,375328,93832,1180
2024/12/01 05:00:00+00,Saturday,4,Silver Line,86897,21724,1181
2024/12/01 05:00:00+00,Saturday,4,Bus,577700,144425,1182
2024/12/01 05:00:00+00,Saturday,4,All Bus,664597,166149,1183
2024/12/01 05:00:00+00,Saturday,4,Commuter Rail,124283,31071,1184
2024/12/01 05:00:00+00,Saturday,4,Ferry,917,229,1185
2024/12/01 05:00:00+00,Saturday,4,The RIDE,8036,2009,1186
2024/12/01 05:00:00+00,Sunday,6,Blue Line,147460,24577,1187
2024/12/01 05:00:00+00,Sunday,6,Orange Line,312814,52136,1188
2024/12/01 05:00:00+00,Sunday,6,Red Line,338381,56397,1189
2024/12/01 05:00:00+00,Sunday,6,Heavy Rail,798655,133109,1190
2024/12/01 05:00:00+00,Sunday,6,Green Line,399094,66516,1191
2024/12/01 05:00:00+00,Sunday,6,Mattapan Line,5136,856,1192
2024/12/01 05:00:00+00,Sunday,6,Light Rail,404230,67372,1193
2024/12/01 05:00:00+00,Sunday,6,Silver Line,127021,21170,1194
2024/12/01 05:00:00+00,Sunday,6,Bus,721825,120304,1195
2024/12/01 05:00:00+00,Sunday,6,All Bus,848846,141474,1196
2024/12/01 05:00:00+00,Sunday,5,Commuter Rail,139548,27910,1197
2024/12/01 05:00:00+00,Sunday,5,Ferry,970,194,1198
2024/12/01 05:00:00+00,Sunday,5,The RIDE,9275,1855,1199
2024/12/01 05:00:00+00,Total,31,Blue Line,1236611,39891,1200
2024/04/01 04:00:00+00,Saturday,4,The RIDE,7660,1915,1201
2024/04/01 04:00:00+00,Sunday,4,Blue Line,88285,22071,1202
2024/04/01 04:00:00+00,Sunday,4,Orange Line,200639,50160,1203
2024/04/01 04:00:00+00,Sunday,4,Red Line,251970,62992,1204
2024/04/01 04:00:00+00,Sunday,4,Heavy Rail,540895,135224,1205
2024/04/01 04:00:00+00,Sunday,4,Green Line,271123,67781,1206
2024/04/01 04:00:00+00,Sunday,4,Mattapan Line,3382,846,1207
2024/04/01 04:00:00+00,Sunday,4,Light Rail,274505,68626,1208
2024/04/01 04:00:00+00,Sunday,4,Silver Line,72026,18006,1209
2024/04/01 04:00:00+00,Sunday,4,Bus,443476,110869,1210
2024/04/01 04:00:00+00,Sunday,4,All Bus,515502,128876,1211
2024/04/01 04:00:00+00,Sunday,4,Commuter Rail,113558,28390,1212
2024/04/01 04:00:00+00,Sunday,4,The RIDE,6876,1719,1213
2024/04/01 04:00:00+00,Total,30,Blue Line,1021698,34057,1214
2024/04/01 04:00:00+00,Total,30,Orange Line,2845851,94862,1215
2024/04/01 04:00:00+00,Total,30,Red Line,3343380,111446,1216
2024/04/01 04:00:00+00,Total,30,Heavy Rail,7210929,240364,1217
