month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2025/11/01 04:00:00+00,Sunday,6,Blue Line,158569,26428,77
2025/11/01 04:00:00+00,Sunday,6,Orange Line,333160,55527,78
2025/11/01 04:00:00+00,Sunday,6,Red Line,437504,72917,79
2025/11/01 04:00:00+00,Sunday,6,Heavy Rail,929233,154872,80
2025/11/01 04:00:00+00,Sunday,6,Green Line,458231,76372,81
2025/11/01 04:00:00+00,Sunday,6,Mattapan Line,7504,1251,82
2025/11/01 04:00:00+00,Sunday,6,Light Rail,465735,77622,83
2025/11/01 04:00:00+00,Sunday,6,Silver Line,105634,17606,84
2025/11/01 04:00:00+00,Sunday,6,Bus,629414,104902,85
2025/11/01 04:00:00+00,Sunday,6,All Bus,735048,122508,86
2025/11/01 04:00:00+00,Sunday,5,Commuter Rail,197030,39406,87
2025/11/01 04:00:00+00,Sunday,5,Ferry,1753,351,88
2025/11/01 04:00:00+00,Sunday,5,The RIDE,9550,1910,89
2025/11/01 04:00:00+00,Total,30,Blue Line,1322437,44081,90
2025/11/01 04:00:00+00,Total,30,Orange Line,3545672,118189,91
2025/11/01 04:00:00+00,Total,30,Red Line,3919380,130646,92
2025/11/01 04:00:00+00,Total,30,Heavy Rail,8787488,292916,93
2025/11/01 04:00:00+00,Total,30,Green Line,3497758,116592,94
2025/11/01 04:00:00+00,Total,30,Mattapan Line,76259,2542,95
2025/11/01 04:00:00+00,Total,30,Light Rail,3574017,119134,96
2025/11/01 04:00:00+00,Total,30,Silver Line,802026,26734,97
2025/11/01 04:00:00+00,Total,30,Bus,6634221,221141,98
2025/11/01 04:00:00+00,Total,30,All Bus,7436246,247875,99
2025/11/01 04:00:00+00,Total,30,Commuter Rail,2558470,85282,100
2026/04/01 04:00:00+00,Weekday,21,Commuter Rail,2385446,113593,101
2026/04/01 04:00:00+00,Weekday,21,Ferry,91379,4351,102
2026/04/01 04:00:00+00,Weekday,21,The RIDE,90041,4288,103
2026/04/01 04:00:00+00,Saturday,4,Blue Line,170467,42617,104
2026/04/01 04:00:00+00,Saturday,4,Orange Line,452923,113231,105
2026/04/01 04:00:00+00,Saturday,4,Red Line,499508,124877,106
2026/04/01 04:00:00+00,Saturday,4,Heavy Rail,1122898,280724,107
2026/04/01 04:00:00+00,Saturday,4,Green Line,530633,132658,108
2026/04/01 04:00:00+00,Saturday,4,Mattapan Line,6930,1732,109
2026/04/01 04:00:00+00,Saturday,4,Light Rail,537563,134391,110
2026/04/01 04:00:00+00,Saturday,4,Silver Line,129519,32380,111
2026/04/01 04:00:00+00,Saturday,4,Bus,939210,234802,112
2026/04/01 04:00:00+00,Saturday,4,All Bus,1068729,267182,113
2026/04/01 04:00:00+00,Saturday,4,Commuter Rail,159749,39937,114
2026/04/01 04:00:00+00,Saturday,4,Ferry,3355,839,115
2026/04/01 04:00:00+00,Saturday,4,The RIDE,8126,2032,116
2026/04/01 04:00:00+00,Sunday,4,Blue Line,123844,30961,117
2026/04/01 04:00:00+00,Sunday,4,Orange Line,310245,77561,118
2026/04/01 04:00:00+00,Sunday,4,Red Line,342195,85549,119
2026/04/01 04:00:00+00,Sunday,4,Heavy Rail,776285,194071,120
2026/04/01 04:00:00+00,Sunday,4,Green Line,365144,91286,121
2026/04/01 04:00:00+00,Sunday,4,Mattapan Line,5062,1266,122
2026/04/01 04:00:00+00,Sunday,4,Light Rail,370206,92552,123
2026/04/01 04:00:00+00,Sunday,4,Silver Line,76597,19149,124
2026/04/01 04:00:00+00,Sunday,4,Bus,497115,124279,125
2026/04/01 04:00:00+00,Sunday,4,All Bus,573712,143428,126
2026/04/01 04:00:00+00,Sunday,4,Commuter Rail,151770,37942,127
2026/04/01 04:00:00+00,Sunday,4,Ferry,1731,433,128
2026/04/01 04:00:00+00,Sunday,4,The RIDE,8860,2215,129
2026/04/01 04:00:00+00,Total,30,Blue Line,1461780,48726,130
2026/04/01 04:00:00+00,Total,30,Orange Line,4046795,134893,131
2026/04/01 04:00:00+00,Total,30,Red Line,4389227,146308,132
2026/04/01 04:00:00+00,Total,30,Heavy Rail,9897802,329927,133
2026/04/01 04:00:00+00,Total,30,Green Line,3898609,129954,134
2026/04/01 04:00:00+00,Total,30,Mattapan Line,79375,2646,135
2026/04/01 04:00:00+00,Total,30,Light Rail,3977984,132599,136
2026/04/01 04:00:00+00,Total,30,Silver Line,932575,31086,137
2026/04/01 04:00:00+00,Total,30,Bus,7620021,254001,138
2026/04/01 04:00:00+00,Total,30,All Bus,8552596,285087,139
2026/04/01 04:00:00+00,Total,30,Commuter Rail,2809730,93658,140
2026/04/01 04:00:00+00,Total,30,Ferry,99786,3326,141
